Candidato;Partido;Número de Votos;Percentual
THOMAS HENRIQUE PEIXOTO LEITE;PSDB;25;
VOTO BRANCO;branco;3;
VOTO NULO;NULO;5;
ISAEL RIBEIRO DOS SANTOS;PTB;10;
LEVI JOSÉ DA SILVA;PTB;2;
JOSÉ CARLOS SILVA MONTEIRO;PTB;1;
MARIA ALESSANDRA PANTALEÃO DOS SANTOS;MDB;15;
GERALDO DOS SANTOS;PTB;13;
ROZILENE RODRIGUES GOMES ALBUQUERQUE;PTB;3;
INALDO GONÇALVES DA SILVA;PTB;5;
ISAEL RIBEIRO DOS SANTOS;PTB;12;
LEVI JOSÉ DA SILVA;PTB;5;
DAIANA SILVA DE SOUSA;PTB;9;
PRISCILA FERNANDES GOMES;PTB;7;
SUYANNE VALERIO DE LIMA;PTB;1;
EVERALDO FERREIRA DE LIMA;PTB;3;
ARY CLEYTON DE CARVALHO REGO;MDB;15;
VOTO NULO;NULO;9;
MARCOS JOSE HERCULANO DA SILVA;PTB;143;
ADELMO ZEFERINO DE SOUZA JUNIOR;MDB;143;
MARIA ALESSANDRA PANTALEÃO DOS SANTOS;MDB;11;
WILLIAM BIZERRA DOS SANTOS;MDB;20;
SIDIANE MARIA LIMA DA SILVA;MDB;1;
GIBSON BUARQUE DE MELO;MDB;24;
MANOEL CARLOS RODRIGUES CALHEIROS;MDB;11;
SONIA MARIA DA SILVA;MDB;24;
MANOEL ELIAS DE MELO CALHEIROS;MDB;7;
ADEILSON DE ARAUJO VIEIRA;MDB;24;
ARNALDO BENTO DA SILVA FILHO;PTB;1;
GERALDO DOS SANTOS;PTB;8;
JOSÉ CARLOS SILVA MONTEIRO;PTB;2;
ROZILENE RODRIGUES GOMES ALBUQUERQUE;PTB;5;
MARIA JOSÉ DE AZEVEDO BISPO;PTB;1;
CLOVIS MARQUES DOS SANTOS;PTB;1;
WELLINGTON DOS SANTOS;PTB;3;
INALDO GONÇALVES DA SILVA;PTB;5;
ISAEL RIBEIRO DOS SANTOS;PTB;10;
LEVI JOSÉ DA SILVA;PTB;1;
THOMAS HENRIQUE PEIXOTO LEITE;PSDB;18;
VOTO BRANCO;branco;2;
VOTO NULO;NULO;11;
CLEIDE JANE DOS SANTOS;MDB;4;
JOSÉ RENATO DOS SANTOS;MDB;8;
DJALMA DA ROSA CALHEIROS;MDB;15;
JOSÉ WILLIAMS ALMEIDA DOS SANTOS;MDB;1;
LEANDRO JOÃO DA SILVA;PSDB;1;
ADEVAN DE LIMA SILVA;PSDB;2;
LOURIVAL DOS SANTOS LIMA;PTB;3;
DAIANA SILVA DE SOUSA;PTB;7;
PRISCILA FERNANDES GOMES;PTB;8;
SUYANNE VALERIO DE LIMA;PTB;1;
EVERALDO FERREIRA DE LIMA;PTB;2;
ARY CLEYTON DE CARVALHO REGO;MDB;15;
MANOEL LUIS SANTOS DA SILVA;MDB;16;
ROSIETE DE ARAUJO SILVA;MDB;1;
EGUIMAR FERREIRA DA SILVA;MDB;19;
MARIA DE FATIMA DE ARAUJO FREITAS;MDB;2;
ARNALDO DA SILVA LIMA;PSDB;2;
THAYSE FERNANDA SOUSA BARROS LEITE;PSDB;4;
ALEXSANDRO DE LIMA;PSDB;9;
ARY CLEYTON DE CARVALHO REGO;MDB;13;
LOURIVAL DOS SANTOS LIMA;PTB;2;
DAIANA SILVA DE SOUSA;PTB;5;
PRISCILA FERNANDES GOMES;PTB;7;
MANOEL LUIS SANTOS DA SILVA;MDB;21;
EGUIMAR FERREIRA DA SILVA;MDB;16;
MARIA DE FATIMA DE ARAUJO FREITAS;MDB;5;
MARIA ALESSANDRA PANTALEÃO DOS SANTOS;MDB;6;
WILLIAM BIZERRA DOS SANTOS;MDB;17;
GIBSON BUARQUE DE MELO;MDB;25;
MANOEL CARLOS RODRIGUES CALHEIROS;MDB;9;
SONIA MARIA DA SILVA;MDB;15;
MANOEL ELIAS DE MELO CALHEIROS;MDB;7;
ADEILSON DE ARAUJO VIEIRA;MDB;17;
CLEIDE JANE DOS SANTOS;MDB;4;
JOSÉ RENATO DOS SANTOS;MDB;15;
DJALMA DA ROSA CALHEIROS;MDB;21;
JOSÉ WILLIAMS ALMEIDA DOS SANTOS;MDB;4;
LEANDRO JOÃO DA SILVA;PSDB;3;
ADEVAN DE LIMA SILVA;PSDB;2;
ARNALDO DA SILVA LIMA;PSDB;1;
THAYSE FERNANDA SOUSA BARROS LEITE;PSDB;17;
GERALDO DOS SANTOS;PTB;22;
JOSÉ CARLOS SILVA MONTEIRO;PTB;2;
ROZILENE RODRIGUES GOMES ALBUQUERQUE;PTB;2;
MARIA AUZENI DA SILVA;PSDB;1;
ELIAS LEANDRO DA SILVA;PSDB;2;
MARIA ALESSANDRA PANTALEÃO DOS SANTOS;MDB;2;
WILLIAM BIZERRA DOS SANTOS;MDB;15;
GIBSON BUARQUE DE MELO;MDB;26;
MANOEL CARLOS RODRIGUES CALHEIROS;MDB;19;
SONIA MARIA DA SILVA;MDB;15;
